scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.4,0.15,1,2.70278398765432100987
scenario-01,1.7,0.1,3,2.70331171604938289259
scenario-01,1.6,0.07,1,2.70424232098765442469
scenario-01,1.7,0.09,2,2.70505597530864170617
scenario-01,1.5,0.18,2,2.70661835802469099876
scenario-01,1.6,0.12,2,2.70713958024691329876
scenario-01,2.0,0.03,1,2.70769348148148154320
scenario-01,1.6,0.16,3,2.70830883950617302962
scenario-01,1.9,0.05,3,2.70838138271604949629
scenario-01,1.7,0.11,3,2.70930822222222238888
scenario-01,1.6,0.13,2,2.71028088888888856790
scenario-01,1.6,0.17,3,2.71139687654321006296
scenario-01,1.4,0.16,1,2.71198039506172840370
scenario-01,1.5,0.12,1,2.71224427160493830370
scenario-01,1.5,0.19,2,2.71286499999999961358
scenario-01,1.9,0.04,1,2.71297011111111117283
scenario-01,1.6,0.08,1,2.71304595061728403827
scenario-01,1.6,0.14,2,2.71350601234567865432
scenario-01,2.0,0.03,3,2.71494883950617293827
scenario-01,1.7,0.12,3,2.71530876543209892345
scenario-01,1.8,0.07,3,2.71556746913580262839
scenario-01,1.9,0.05,2,2.71596518518518496172
scenario-01,1.7,0.06,1,2.71756954320987663209
scenario-01,1.4,0.17,1,2.71827371604938269753
scenario-01,1.6,0.15,2,2.71941160493827122592
scenario-01,1.7,0.11,2,2.72026499999999966296
scenario-01,1.6,0.18,3,2.72027132098765450370
scenario-01,1.7,0.13,3,2.72134000000000015432
scenario-01,1.4,0.18,1,2.72135087654320985185
scenario-01,1.5,0.13,1,2.72140309876543209629
scenario-01,1.5,0.2,2,2.72180960493827120000
scenario-01,2.0,0.03,2,2.72208622222222211604
scenario-01,1.6,0.09,1,2.72224962962962966666
scenario-01,1.7,0.1,2,2.72301120987654291234
scenario-01,1.6,0.1,1,2.72549637037037037901
scenario-01,1.8,0.05,1,2.72591308641975315802
scenario-01,1.6,0.19,3,2.72626748148148165802
scenario-01,1.8,0.08,3,2.72746804938271620000
scenario-01,1.6,0.16,2,2.72840855555555514814
scenario-01,1.6,0.11,1,2.72879228395061726790
scenario-01,1.8,0.07,2,2.72902460493827135555
scenario-01,1.7,0.14,3,2.73022756790123470246
scenario-01,1.5,0.14,1,2.73061832098765429135
scenario-01,2.0,0.04,2,2.73212392592592575061
scenario-01,1.7,0.12,2,2.73222156790123420740
scenario-01,1.7,0.15,3,2.73330632098765445185
scenario-01,1.4,0.19,1,2.73334018518518513086
scenario-01,1.8,0.09,3,2.73339479012345693209
scenario-01,2.0,0.04,3,2.73362128395061735802
scenario-01,1.6,0.17,2,2.73448687654320945308
scenario-01,1.8,0.08,2,2.73496866666666637283
scenario-01,1.8,0.1,3,2.73658217283950629259
scenario-01,1.9,0.05,1,2.73718108641975309876
scenario-01,1.6,0.12,1,2.73783804938271601604
scenario-01,1.9,0.06,3,2.73797953086419764320
scenario-01,1.8,0.06,1,2.73808806172839510617
scenario-01,1.7,0.07,1,2.73810865432098769382
scenario-01,1.4,0.2,1,2.73936535802469128765
scenario-01,1.6,0.2,3,2.74103662962962979876
scenario-01,2.0,0.04,1,2.74117025925925926296
scenario-01,1.6,0.18,2,2.74346974074074028518
scenario-01,1.8,0.09,2,2.74391069135802434691
scenario-01,1.5,0.15,1,2.74551071604938267037
scenario-01,1.9,0.06,2,2.74556877777777753209
scenario-01,2.0,0.05,3,2.74569438271604944814
scenario-01,1.6,0.13,1,2.74687217283950611111
scenario-01,2.0,0.05,2,2.74736777777777753703
scenario-01,1.7,0.16,3,2.74802744444444456913
scenario-01,1.8,0.11,3,2.74844316049382725925
scenario-01,1.7,0.13,2,2.75006764197530822716
scenario-01,1.8,0.1,2,2.75009182716049346790
scenario-01,1.7,0.08,1,2.75010240740740742962
scenario-01,1.7,0.14,2,2.75030606172839462098
scenario-01,1.7,0.09,1,2.75040833333333330493
scenario-01,1.7,0.17,3,2.75107775308641987530
scenario-01,1.5,0.16,1,2.75165337037037030617
scenario-01,1.6,0.19,2,2.75238719753086372716
scenario-01,1.9,0.07,3,2.75275488888888898641
scenario-01,1.7,0.15,2,2.75330420987654274938
scenario-01,1.8,0.12,3,2.75440007407407416913
scenario-01,1.8,0.11,2,2.75628811111111070123
scenario-01,1.7,0.1,1,2.75656260493827156913
scenario-01,1.7,0.18,3,2.75700149382716061481
scenario-01,1.8,0.13,3,2.75745055555555565061
scenario-01,1.9,0.08,3,2.75880111111111120000
scenario-01,2.0,0.06,3,2.76066961728395068641
scenario-01,1.5,0.17,1,2.76089460493827150987
scenario-01,1.6,0.2,2,2.76133172839506124444
scenario-01,1.7,0.16,2,2.76222167901234519876
scenario-01,1.9,0.07,2,2.76330675308641947530
scenario-01,1.8,0.14,3,2.76339075308641984074
scenario-01,1.9,0.06,1,2.76369332098765432469
scenario-01,1.8,0.07,1,2.76448274074074077037
scenario-01,1.6,0.14,1,2.76466780246913571728
scenario-01,1.8,0.12,2,2.76512614814814772839
scenario-01,2.0,0.05,1,2.76519551851851849012
scenario-01,1.7,0.11,1,2.76560395061728388765
scenario-01,1.5,0.18,1,2.76698079012345667530
scenario-01,1.7,0.19,3,2.76888379012345691111
scenario-01,1.5,0.19,1,2.77005792592592580246
scenario-01,1.8,0.15,3,2.77234353086419761358
scenario-01,1.9,0.09,3,2.77362192592592600370
scenario-01,1.6,0.15,1,2.77362659259259249259
scenario-01,1.8,0.08,1,2.77374590123456788518
