,rmse,bo_xi,function,input_size
240,0.036603242396103464,1.0,merge-videos,42778355
255,0.03703847570127175,2.5,merge-videos,42778355
363,0.19782878384673885,3.0,transform-video,345600
351,0.19782970374471825,2.0,transform-video,345600
357,0.19782970374471825,2.5,transform-video,345600
345,0.1978303937803248,1.5,transform-video,345600
315,0.1978322556232176,0.01,transform-video,345600
321,0.1978322556232176,0.05,transform-video,345600
327,0.1978322556232176,0.1,transform-video,345600
333,0.1978322556232176,0.5,transform-video,345600
339,0.1978322556232176,1.0,transform-video,345600
340,0.1961995399014517,1.0,transform-video,518400
346,0.1961995399014517,1.5,transform-video,518400
352,0.1961995399014517,2.0,transform-video,518400
358,0.1962002666765002,2.5,transform-video,518400
364,0.1962002666765002,3.0,transform-video,518400
316,0.1962003844310257,0.01,transform-video,518400
322,0.1962003844310257,0.05,transform-video,518400
328,0.1962003844310257,0.1,transform-video,518400
334,0.1962003844310257,0.5,transform-video,518400
365,0.19857319514801958,3.0,transform-video,864000
341,0.19857342072610676,1.0,transform-video,864000
359,0.19857446585019772,2.5,transform-video,864000
323,0.19857454393444954,0.05,transform-video,864000
329,0.19857454393444954,0.1,transform-video,864000
335,0.19857454393444954,0.5,transform-video,864000
353,0.19857495987292056,2.0,transform-video,864000
317,0.19857504603757056,0.01,transform-video,864000
347,0.1985756052137686,1.5,transform-video,864000
366,0.18467480397872243,3.0,transform-video,1080000
360,0.18467485815694346,2.5,transform-video,1080000
318,0.18467536403111953,0.01,transform-video,1080000
324,0.18467536403111953,0.05,transform-video,1080000
330,0.18467536403111953,0.1,transform-video,1080000
336,0.18467536403111953,0.5,transform-video,1080000
342,0.18467536403111953,1.0,transform-video,1080000
348,0.18467536403111953,1.5,transform-video,1080000
354,0.18467536403111953,2.0,transform-video,1080000
361,0.08093895918777204,2.5,transform-video,1296000
367,0.09626458284598993,3.0,transform-video,1296000
325,0.10009028682236688,0.05,transform-video,1296000
331,0.10372763248112658,0.1,transform-video,1296000
355,0.10493632769616927,2.0,transform-video,1296000
319,0.11327547753199754,0.01,transform-video,1296000
343,0.12417097606132212,1.0,transform-video,1296000
349,0.14181565465173246,1.5,transform-video,1296000
337,0.15391948167844455,0.5,transform-video,1296000
350,0.09859189277345727,1.5,transform-video,1620000
338,0.10578023572643806,0.5,transform-video,1620000
368,0.10682512783898254,3.0,transform-video,1620000
356,0.10732506426795875,2.0,transform-video,1620000
344,0.10767352314454635,1.0,transform-video,1620000
362,0.11515931928521003,2.5,transform-video,1620000
326,0.11705305580477819,0.05,transform-video,1620000
320,0.12464237810468597,0.01,transform-video,1620000
332,0.1392056262549584,0.1,transform-video,1620000
6,0.06652543149940501,0.1,validate-log,2467840
9,0.06836356613028229,0.5,validate-log,2467840
12,0.07161499500323251,1.0,validate-log,2467840
18,0.0719698196114331,2.0,validate-log,2467840
21,0.0719698196114331,2.5,validate-log,2467840
15,0.07246365523990012,1.5,validate-log,2467840
24,0.07246365523990012,3.0,validate-log,2467840
0,0.08241959766075233,0.01,validate-log,2467840
3,0.08507603028295331,0.05,validate-log,2467840
19,0.13286685885438226,2.0,validate-log,56909824
10,0.13296489454961458,0.5,validate-log,56909824
13,0.13314556326105362,1.0,validate-log,56909824
1,0.1331963523540612,0.01,validate-log,56909824
4,0.1331963523540612,0.05,validate-log,56909824
7,0.1331963523540612,0.1,validate-log,56909824
25,0.1337724949636949,3.0,validate-log,56909824
16,0.13398654020710568,1.5,validate-log,56909824
22,0.13541132115698237,2.5,validate-log,56909824
11,0.0982641236229035,0.5,validate-log,100449280
2,0.09988125417105802,0.01,validate-log,100449280
5,0.09988125417105802,0.05,validate-log,100449280
8,0.09988125417105802,0.1,validate-log,100449280
20,0.1006905354803126,2.0,validate-log,100449280
26,0.10070693204136878,3.0,validate-log,100449280
14,0.10082669094946618,1.0,validate-log,100449280
17,0.10089254972488577,1.5,validate-log,100449280
23,0.10114277977090393,2.5,validate-log,100449280
132,0.24537848667600007,3.0,validate-video,42254483
123,0.24661344083919362,1.5,validate-video,42254483
114,0.2469948821682455,0.1,validate-video,42254483
111,0.24735183123759574,0.05,validate-video,42254483
108,0.2473700740462822,0.01,validate-video,42254483
120,0.24790710991178902,1.0,validate-video,42254483
126,0.2486831679415584,2.0,validate-video,42254483
117,0.24947510846601864,0.5,validate-video,42254483
129,0.2550529483826209,2.5,validate-video,42254483
118,0.21815073917331776,0.5,validate-video,238915345
130,0.22222743406120435,2.5,validate-video,238915345
133,0.22222743406120435,3.0,validate-video,238915345
127,0.2225151236503857,2.0,validate-video,238915345
109,0.22553863547096326,0.01,validate-video,238915345
121,0.22719553196014808,1.0,validate-video,238915345
112,0.22721616476854883,0.05,validate-video,238915345
115,0.22721616476854883,0.1,validate-video,238915345
124,0.22859601673716526,1.5,validate-video,238915345
128,0.18616328171443178,2.0,validate-video,525049424
125,0.19445765614355298,1.5,validate-video,525049424
110,0.19707053652722473,0.01,validate-video,525049424
113,0.19707053652722473,0.05,validate-video,525049424
131,0.22388873748076643,2.5,validate-video,525049424
119,0.2365892804843568,0.5,validate-video,525049424
116,0.2470926159757455,0.1,validate-video,525049424
122,0.24777974675900308,1.0,validate-video,525049424
134,0.25498360755417343,3.0,validate-video,525049424
267,0.22224641889094207,0.05,validate-video-face-recog,345600
285,0.2987999383132756,1.0,validate-video-face-recog,345600
309,0.298947694503942,3.0,validate-video-face-recog,345600
303,0.29896615889323136,2.5,validate-video-face-recog,345600
261,0.29905846373932626,0.01,validate-video-face-recog,345600
273,0.30148509051362227,0.1,validate-video-face-recog,345600
291,0.30170472514001895,1.5,validate-video-face-recog,345600
279,0.3018327715322984,0.5,validate-video-face-recog,345600
297,0.30194248236340043,2.0,validate-video-face-recog,345600
262,0.19182808834222445,0.01,validate-video-face-recog,518400
268,0.19300367920956704,0.05,validate-video-face-recog,518400
274,0.19324926711586562,0.1,validate-video-face-recog,518400
280,0.22153693673157682,0.5,validate-video-face-recog,518400
292,0.4458156629225138,1.5,validate-video-face-recog,518400
298,0.4458156629225138,2.0,validate-video-face-recog,518400
286,0.4459220384320898,1.0,validate-video-face-recog,518400
304,0.4732387619817019,2.5,validate-video-face-recog,518400
310,0.47437070189778396,3.0,validate-video-face-recog,518400
281,0.1222639745412976,0.5,validate-video-face-recog,864000
287,0.1229690964878204,1.0,validate-video-face-recog,864000
293,0.1229690964878204,1.5,validate-video-face-recog,864000
299,0.12516375350349385,2.0,validate-video-face-recog,864000
305,0.12516375350349385,2.5,validate-video-face-recog,864000
311,0.12517406310801718,3.0,validate-video-face-recog,864000
263,0.12802809677250998,0.01,validate-video-face-recog,864000
269,0.1811374529166564,0.05,validate-video-face-recog,864000
275,0.18114457687996188,0.1,validate-video-face-recog,864000
276,0.13596096905738916,0.1,validate-video-face-recog,1080000
288,0.13783816106829888,1.0,validate-video-face-recog,1080000
300,0.1381325643107505,2.0,validate-video-face-recog,1080000
312,0.13846461422330028,3.0,validate-video-face-recog,1080000
294,0.13898026547574374,1.5,validate-video-face-recog,1080000
306,0.13898026547574374,2.5,validate-video-face-recog,1080000
282,0.20593445276294978,0.5,validate-video-face-recog,1080000
270,0.21332776697286052,0.05,validate-video-face-recog,1080000
264,0.22710293571021856,0.01,validate-video-face-recog,1080000
313,0.06771282170774909,3.0,validate-video-face-recog,1296000
307,0.07595487922354603,2.5,validate-video-face-recog,1296000
301,0.09001716209073327,2.0,validate-video-face-recog,1296000
277,0.09018207529369052,0.1,validate-video-face-recog,1296000
271,0.0927715903874869,0.05,validate-video-face-recog,1296000
283,0.09301766930885016,0.5,validate-video-face-recog,1296000
295,0.09527276814611517,1.5,validate-video-face-recog,1296000
289,0.0958439045243372,1.0,validate-video-face-recog,1296000
265,0.17511355163154038,0.01,validate-video-face-recog,1296000
272,0.08101837512783626,0.05,validate-video-face-recog,1620000
266,0.10443096165737963,0.01,validate-video-face-recog,1620000
278,0.11128423622883264,0.1,validate-video-face-recog,1620000
284,0.12119828414652867,0.5,validate-video-face-recog,1620000
296,0.12132550374035027,1.5,validate-video-face-recog,1620000
314,0.12150933036659115,3.0,validate-video-face-recog,1620000
302,0.1216227315395382,2.0,validate-video-face-recog,1620000
308,0.12240555405730327,2.5,validate-video-face-recog,1620000
290,0.12242968526582897,1.0,validate-video-face-recog,1620000
